signal_time,coin,tier,regime,hold_h,outcome,pnl_pct,entry,exit
2023-08-11 23:00:00,ETHUSDT,B,RANGING,4,OPEN,-0.341,1849.7586,1844.9229
2023-08-11 23:00:00,ETHUSDT,B,RANGING,12,OPEN,-0.129,1849.7586,1848.8497
2023-08-11 23:00:00,ETHUSDT,B,RANGING,24,OPEN,-0.109,1849.7586,1849.2194
2024-06-01 21:00:00,ETHUSDT,A,RANGING,4,OPEN,-0.462,3820.544,3805.9528
2024-06-01 21:00:00,ETHUSDT,A,RANGING,12,STOP,-1.399,3820.544,3770.1509
2024-06-01 21:00:00,ETHUSDT,A,RANGING,24,STOP,-1.399,3820.544,3770.1509
2024-06-19 00:00:00,ETHUSDT,C,TRENDING,4,OPEN,0.37,3541.2107,3557.152
2024-06-19 00:00:00,ETHUSDT,C,TRENDING,12,OPEN,-0.791,3541.2107,3516.0249
2024-06-19 00:00:00,ETHUSDT,C,TRENDING,24,OPEN,0.109,3541.2107,3547.9194
2024-06-19 01:00:00,ETHUSDT,B,TRENDING,4,OPEN,-0.832,3567.0614,3540.2355
2024-06-19 01:00:00,ETHUSDT,B,TRENDING,12,OPEN,-1.26,3567.0614,3524.9678
2024-06-19 01:00:00,ETHUSDT,B,TRENDING,24,OPEN,-0.586,3567.0614,3549.0085
2024-08-12 23:00:00,ETHUSDT,B,TRENDING,4,OPEN,-3.189,2733.8653,2648.8792
2024-08-12 23:00:00,ETHUSDT,B,TRENDING,12,STOP,-4.573,2733.8653,2611.0382
2024-08-12 23:00:00,ETHUSDT,B,TRENDING,24,STOP,-4.573,2733.8653,2611.0382
2024-09-21 00:00:00,ETHUSDT,A,RANGING,4,OPEN,-0.018,2543.0428,2544.6227
2024-09-21 00:00:00,ETHUSDT,A,RANGING,12,OPEN,0.755,2543.0428,2564.2669
2024-09-21 00:00:00,ETHUSDT,A,RANGING,24,TARGET,2.016,2543.0428,2596.3461
2024-10-17 22:00:00,ETHUSDT,B,RANGING,4,TARGET,1.813,2598.5372,2647.7381
2024-10-17 22:00:00,ETHUSDT,B,RANGING,12,TARGET,1.813,2598.5372,2647.7381
2024-10-17 22:00:00,ETHUSDT,B,RANGING,24,TARGET,1.813,2598.5372,2647.7381
2024-11-30 00:00:00,ETHUSDT,C,TRENDING,4,OPEN,1.721,3630.5621,3695.9309
2024-11-30 00:00:00,ETHUSDT,C,TRENDING,12,OPEN,0.611,3630.5621,3655.6431
2024-11-30 00:00:00,ETHUSDT,C,TRENDING,24,OPEN,0.833,3630.5621,3663.6967
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,4,OPEN,-3.233,22.1327,21.4348
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,12,STOP,-6.857,22.1327,20.6327
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,24,STOP,-6.857,22.1327,20.6327
2023-02-19 12:00:00,SOLUSDT,A,RANGING,4,OPEN,-0.511,24.3615,24.2566
2023-02-19 12:00:00,SOLUSDT,A,RANGING,12,OPEN,5.543,24.3615,25.7314
2023-02-19 12:00:00,SOLUSDT,A,RANGING,24,TARGET,7.457,24.3615,26.1976
2023-04-10 10:00:00,SOLUSDT,C,TRENDING,4,TARGET,1.246,20.2262,20.4944
2023-04-10 10:00:00,SOLUSDT,C,TRENDING,12,TARGET,1.246,20.2262,20.4944
2023-04-10 10:00:00,SOLUSDT,C,TRENDING,24,TARGET,1.246,20.2262,20.4944
2023-04-14 23:00:00,SOLUSDT,C,TRENDING,4,OPEN,-0.576,24.3695,24.2486
2023-04-14 23:00:00,SOLUSDT,C,TRENDING,12,OPEN,-0.633,24.3695,24.2346
2023-04-14 23:00:00,SOLUSDT,C,TRENDING,24,OPEN,-0.986,24.3695,24.1487
2023-06-30 00:00:00,SOLUSDT,A,RANGING,4,OPEN,0.209,18.4828,18.5362
2023-06-30 00:00:00,SOLUSDT,A,RANGING,12,STOP,-6.344,18.4828,17.325
2023-06-30 00:00:00,SOLUSDT,A,RANGING,24,STOP,-6.344,18.4828,17.325
