signal_time,coin,entry_time,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,magnitude,confidence,tier
2023-08-11 23:00:00,ETHUSDT,2023-08-12 01:00:00,1848.28,1825.3474,1866.8292,1.241,0.033,1.476,RANGING,1.4353,73.8,B
2024-06-01 21:00:00,ETHUSDT,2024-06-01 23:00:00,3817.49,3773.1694,3834.2307,1.161,-0.099,2.321,RANGING,2.5602,89.8,A
2024-06-19 00:00:00,ETHUSDT,2024-06-19 02:00:00,3538.38,3368.4531,3629.9381,4.802,0.277,1.202,TRENDING,0.8893,20.3,C
2024-06-19 01:00:00,ETHUSDT,2024-06-19 03:00:00,3564.21,3368.4531,3647.5747,5.492,-0.968,2.165,TRENDING,4.3939,62.5,B
2024-08-12 23:00:00,ETHUSDT,2024-08-13 01:00:00,2731.68,2613.1287,2796.2046,4.34,-0.011,2.31,TRENDING,2.3944,64.6,B
2024-09-21 00:00:00,ETHUSDT,2024-09-21 02:00:00,2541.01,2502.7334,2591.4367,1.506,-0.22,1.93,RANGING,2.3898,83.9,A
2024-10-17 22:00:00,ETHUSDT,2024-10-18 00:00:00,2596.46,2560.8614,2639.9905,1.371,0.046,1.583,RANGING,1.528,74.2,B
2024-11-30 00:00:00,ETHUSDT,2024-11-30 02:00:00,3627.66,3543.4636,3634.3928,2.321,-0.059,1.006,TRENDING,1.0701,45.1,C
2023-02-12 18:00:00,SOLUSDT,2023-02-12 20:00:00,22.115,20.6492,22.4351,6.628,-1.489,2.086,TRENDING,5.4278,61.3,B
2023-02-19 12:00:00,SOLUSDT,2023-02-19 14:00:00,24.342,23.091,24.5605,5.139,-0.965,2.915,RANGING,5.8496,98.7,A
2023-04-10 10:00:00,SOLUSDT,2023-04-10 12:00:00,20.21,20.0094,20.3602,0.992,-0.6,1.384,TRENDING,2.2335,50.8,C
2023-04-14 23:00:00,SOLUSDT,2023-04-15 01:00:00,24.35,23.6064,24.9946,3.054,0.197,1.785,TRENDING,1.4903,37.1,C
2023-06-30 00:00:00,SOLUSDT,2023-06-30 02:00:00,18.468,17.3389,18.6598,6.114,-2.425,1.497,RANGING,5.2535,77.5,A
2023-07-06 00:00:00,SOLUSDT,2023-07-06 02:00:00,19.508,18.4354,19.5409,5.498,-1.678,4.46,TRENDING,12.2047,75.0,A
2023-07-08 00:00:00,SOLUSDT,2023-07-08 02:00:00,21.85,19.1627,22.0403,12.299,-1.185,2.412,RANGING,5.8581,91.2,A
2023-07-12 00:00:00,SOLUSDT,2023-07-12 02:00:00,21.968,21.6094,22.0939,1.632,-0.035,1.36,RANGING,1.4253,75.4,A
2023-07-17 05:00:00,SOLUSDT,2023-07-17 07:00:00,27.634,26.9247,27.8267,2.567,-2.675,1.633,RANGING,6.1674,79.5,A
2023-08-11 22:00:00,SOLUSDT,2023-08-12 00:00:00,24.75,24.2183,25.0041,2.148,-1.907,1.173,RANGING,3.4336,72.6,B
2023-08-26 12:00:00,SOLUSDT,2023-08-26 14:00:00,20.365,20.0851,20.4019,1.375,0.201,1.159,RANGING,0.9259,52.3,C
2023-09-30 12:00:00,SOLUSDT,2023-09-30 14:00:00,21.284,19.9547,21.2937,6.245,-0.678,1.245,RANGING,2.1107,73.7,B
