signal_time,coin,tier,regime,hold_h,outcome,pnl_pct,lev_pnl,leverage,is_new
2023-02-01 13:00:00,ATOMUSDT,A,RANGING,4,TARGET,5.981,35.887,6,True
2023-02-01 13:00:00,ATOMUSDT,A,RANGING,12,TARGET,5.981,35.887,6,True
2023-02-01 13:00:00,ATOMUSDT,A,RANGING,24,TARGET,5.981,35.887,6,True
2023-02-07 06:00:00,ATOMUSDT,A,RANGING,4,OPEN,1.524,10.671,7,True
2023-02-07 06:00:00,ATOMUSDT,A,RANGING,12,OPEN,1.324,9.267,7,True
2023-02-07 06:00:00,ATOMUSDT,A,RANGING,24,TARGET,4.97,34.79,7,True
2023-02-10 21:00:00,APTUSDT,B,TRENDING,4,OPEN,-2.134,-6.402,3,True
2023-02-10 21:00:00,APTUSDT,B,TRENDING,12,OPEN,-2.368,-7.104,3,True
2023-02-10 21:00:00,APTUSDT,B,TRENDING,24,OPEN,1.405,4.216,3,True
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,4,OPEN,-3.233,-9.699,3,False
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,12,STOP,-6.857,-20.572,3,False
2023-02-12 18:00:00,SOLUSDT,B,TRENDING,24,STOP,-6.857,-20.572,3,False
2023-02-14 00:00:00,APTUSDT,B,RANGING,4,OPEN,0.285,1.139,4,True
2023-02-14 00:00:00,APTUSDT,B,RANGING,12,OPEN,2.735,10.942,4,True
2023-02-14 00:00:00,APTUSDT,B,RANGING,24,OPEN,3.433,13.73,4,True
2023-02-14 13:00:00,OPUSDT,A,RANGING,4,OPEN,3.108,6.215,2,True
2023-02-14 13:00:00,OPUSDT,A,RANGING,12,OPEN,1.434,2.868,2,True
2023-02-14 13:00:00,OPUSDT,A,RANGING,24,OPEN,7.062,14.125,2,True
2023-02-14 13:00:00,SOLUSDT,A,RANGING,4,OPEN,0.317,1.266,4,False
2023-02-14 13:00:00,SOLUSDT,A,RANGING,12,OPEN,-1.558,-6.232,4,False
2023-02-14 13:00:00,SOLUSDT,A,RANGING,24,OPEN,2.146,8.583,4,False
2023-02-14 13:00:00,NEARUSDT,A,RANGING,4,OPEN,0.927,2.78,3,True
2023-02-14 13:00:00,NEARUSDT,A,RANGING,12,OPEN,-0.24,-0.72,3,True
2023-02-14 13:00:00,NEARUSDT,A,RANGING,24,OPEN,4.113,12.338,3,True
2023-02-17 04:00:00,DOTUSDT,A,TRENDING,4,OPEN,-0.062,-0.185,3,True
2023-02-17 04:00:00,DOTUSDT,A,TRENDING,12,OPEN,9.358,28.074,3,True
2023-02-17 04:00:00,DOTUSDT,A,TRENDING,24,TARGET,10.155,30.464,3,True
2023-02-22 15:00:00,APTUSDT,B,TRENDING,4,OPEN,1.785,7.141,4,True
2023-02-22 15:00:00,APTUSDT,B,TRENDING,12,OPEN,3.198,12.791,4,True
2023-02-22 15:00:00,APTUSDT,B,TRENDING,24,OPEN,0.336,1.342,4,True
2023-02-24 02:00:00,OPUSDT,B,RANGING,4,OPEN,5.283,15.85,3,True
2023-02-24 02:00:00,OPUSDT,B,RANGING,12,OPEN,5.817,17.451,3,True
2023-02-24 02:00:00,OPUSDT,B,RANGING,24,OPEN,-2.845,-8.536,3,True
2023-03-02 03:00:00,LINKUSDT,B,RANGING,4,STOP,-1.198,-31.138,26,True
2023-03-02 03:00:00,LINKUSDT,B,RANGING,12,STOP,-1.198,-31.138,26,True
2023-03-02 03:00:00,LINKUSDT,B,RANGING,24,STOP,-1.198,-31.138,26,True
2023-03-18 12:00:00,OPUSDT,B,TRENDING,4,STOP,-2.294,-27.527,12,True
2023-03-18 12:00:00,OPUSDT,B,TRENDING,12,STOP,-2.294,-27.527,12,True
2023-03-18 12:00:00,OPUSDT,B,TRENDING,24,STOP,-2.294,-27.527,12,True
2023-03-21 11:00:00,NEARUSDT,A,RANGING,4,OPEN,-2.364,-7.092,3,True
2023-03-21 11:00:00,NEARUSDT,A,RANGING,12,OPEN,-1.833,-5.499,3,True
2023-03-21 11:00:00,NEARUSDT,A,RANGING,24,OPEN,-2.461,-7.382,3,True
2023-03-21 21:00:00,DOTUSDT,B,RANGING,4,OPEN,-0.852,-5.113,6,True
2023-03-21 21:00:00,DOTUSDT,B,RANGING,12,OPEN,-2.124,-12.742,6,True
2023-03-21 21:00:00,DOTUSDT,B,RANGING,24,STOP,-4.394,-26.364,6,True
2023-03-21 21:00:00,LINKUSDT,A,RANGING,4,OPEN,0.898,6.283,7,True
2023-03-21 21:00:00,LINKUSDT,A,RANGING,12,OPEN,1.196,8.369,7,True
2023-03-21 21:00:00,LINKUSDT,A,RANGING,24,STOP,-3.582,-25.074,7,True
2023-03-23 17:00:00,APTUSDT,B,RANGING,4,OPEN,1.52,6.082,4,True
2023-03-23 17:00:00,APTUSDT,B,RANGING,12,OPEN,-0.906,-3.623,4,True
2023-03-23 17:00:00,APTUSDT,B,RANGING,24,STOP,-5.43,-21.72,4,True
2023-03-26 00:00:00,APTUSDT,B,TRENDING,4,OPEN,-0.171,-1.371,8,True
2023-03-26 00:00:00,APTUSDT,B,TRENDING,12,OPEN,1.369,10.948,8,True
2023-03-26 00:00:00,APTUSDT,B,TRENDING,24,OPEN,0.667,5.336,8,True
2023-03-26 00:00:00,OPUSDT,B,TRENDING,4,OPEN,-0.047,-0.233,5,True
2023-03-26 00:00:00,OPUSDT,B,TRENDING,12,OPEN,1.373,6.866,5,True
2023-03-26 00:00:00,OPUSDT,B,TRENDING,24,OPEN,0.093,0.463,5,True
2023-04-01 12:00:00,LTCUSDT,A,RANGING,4,OPEN,-0.681,-12.252,18,True
2023-04-01 12:00:00,LTCUSDT,A,RANGING,12,OPEN,-0.713,-12.832,18,True
2023-04-01 12:00:00,LTCUSDT,A,RANGING,24,OPEN,0.427,7.68,18,True
2023-04-01 20:00:00,ATOMUSDT,A,RANGING,4,OPEN,-0.66,-3.958,6,True
2023-04-01 20:00:00,ATOMUSDT,A,RANGING,12,OPEN,-0.039,-0.232,6,True
2023-04-01 20:00:00,ATOMUSDT,A,RANGING,24,STOP,-4.133,-24.797,6,True
2023-04-02 06:00:00,LTCUSDT,B,RANGING,4,OPEN,-0.004,-0.049,11,True
2023-04-02 06:00:00,LTCUSDT,B,RANGING,12,STOP,-2.496,-27.457,11,True
2023-04-02 06:00:00,LTCUSDT,B,RANGING,24,STOP,-2.496,-27.457,11,True
2023-04-05 12:00:00,AVAXUSDT,A,TRENDING,4,OPEN,-1.044,-6.265,6,False
2023-04-05 12:00:00,AVAXUSDT,A,TRENDING,12,OPEN,-0.374,-2.243,6,False
2023-04-05 12:00:00,AVAXUSDT,A,TRENDING,24,OPEN,1.078,6.469,6,False
2023-04-06 14:00:00,INJUSDT,A,RANGING,4,OPEN,0.112,0.223,2,True
2023-04-06 14:00:00,INJUSDT,A,RANGING,12,OPEN,0.639,1.278,2,True
2023-04-06 14:00:00,INJUSDT,A,RANGING,24,OPEN,0.024,0.047,2,True
2023-04-08 22:00:00,ATOMUSDT,B,RANGING,4,OPEN,-0.085,-1.195,14,True
2023-04-08 22:00:00,ATOMUSDT,B,RANGING,12,OPEN,-0.876,-12.264,14,True
2023-04-08 22:00:00,ATOMUSDT,B,RANGING,24,OPEN,-0.058,-0.814,14,True
2023-04-08 23:00:00,APTUSDT,A,RANGING,4,OPEN,-1.172,-5.858,5,True
2023-04-08 23:00:00,APTUSDT,A,RANGING,12,OPEN,-0.367,-1.833,5,True
2023-04-08 23:00:00,APTUSDT,A,RANGING,24,OPEN,-1.19,-5.948,5,True
2023-04-10 18:00:00,INJUSDT,A,TRENDING,4,OPEN,1.265,2.531,2,True
2023-04-10 18:00:00,INJUSDT,A,TRENDING,12,OPEN,2.738,5.476,2,True
2023-04-10 18:00:00,INJUSDT,A,TRENDING,24,OPEN,10.183,20.365,2,True
2023-04-11 19:00:00,INJUSDT,B,TRENDING,4,OPEN,-4.188,-12.564,3,True
2023-04-11 19:00:00,INJUSDT,B,TRENDING,12,OPEN,-2.096,-6.288,3,True
2023-04-11 19:00:00,INJUSDT,B,TRENDING,24,OPEN,-1.949,-5.846,3,True
2023-04-13 13:00:00,APTUSDT,A,RANGING,4,OPEN,-1.092,-2.185,2,True
2023-04-13 13:00:00,APTUSDT,A,RANGING,12,OPEN,1.763,3.525,2,True
2023-04-13 13:00:00,APTUSDT,A,RANGING,24,OPEN,-2.009,-4.018,2,True
2023-04-14 00:00:00,APTUSDT,A,TRENDING,4,OPEN,4.874,24.369,5,True
2023-04-14 00:00:00,APTUSDT,A,TRENDING,12,OPEN,-2.196,-10.979,5,True
2023-04-14 00:00:00,APTUSDT,A,TRENDING,24,OPEN,-0.428,-2.142,5,True
2023-04-14 23:00:00,AVAXUSDT,A,TRENDING,4,OPEN,-0.276,-1.658,6,False
2023-04-14 23:00:00,AVAXUSDT,A,TRENDING,12,OPEN,-0.266,-1.596,6,False
2023-04-14 23:00:00,AVAXUSDT,A,TRENDING,24,OPEN,-0.777,-4.664,6,False
2023-04-16 00:00:00,ATOMUSDT,A,RANGING,4,OPEN,0.777,4.662,6,True
2023-04-16 00:00:00,ATOMUSDT,A,RANGING,12,OPEN,-0.098,-0.588,6,True
2023-04-16 00:00:00,ATOMUSDT,A,RANGING,24,OPEN,1.628,9.77,6,True
2023-04-16 00:00:00,INJUSDT,A,RANGING,4,OPEN,2.422,4.845,2,True
2023-04-16 00:00:00,INJUSDT,A,RANGING,12,OPEN,0.675,1.35,2,True
2023-04-16 00:00:00,INJUSDT,A,RANGING,24,OPEN,10.421,20.842,2,True
2023-04-18 05:00:00,INJUSDT,B,TRENDING,4,OPEN,-0.653,-3.917,6,True
