signal_time,entry_time,coin,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,confidence,tier,leverage,rr,is_new
2023-02-01 13:00:00,2023-02-01 15:00:00,ATOMUSDT,13.969,13.38872,14.83942,4.154,-1.555,2.089,RANGING,86.3,A,6,1.5,True
2023-02-07 06:00:00,2023-02-07 08:00:00,ATOMUSDT,14.43,13.92801,15.182985,3.479,-0.654,2.934,RANGING,99.0,A,7,1.5,True
2023-02-10 21:00:00,2023-02-10 23:00:00,APTUSDT,13.653,12.51909,15.353865,8.305,-0.985,2.03,TRENDING,60.5,B,3,1.5,True
2023-02-12 18:00:00,2023-02-12 20:00:00,SOLUSDT,22.115,20.649235,24.313647,6.628,-1.489,2.086,TRENDING,61.3,B,3,1.5,False
2023-02-14 00:00:00,2023-02-14 02:00:00,APTUSDT,13.892,13.08624,15.10064,5.8,-0.634,1.293,RANGING,74.4,B,4,1.5,True
2023-02-14 13:00:00,2023-02-14 15:00:00,OPUSDT,2.3503,2.142135,2.662547,8.857,-5.727,5.678,RANGING,100.0,A,2,1.5,True
2023-02-14 13:00:00,2023-02-14 15:00:00,SOLUSDT,21.888,20.64625,23.750625,5.673,-0.385,6.555,RANGING,100.0,A,4,1.5,False
2023-02-14 13:00:00,2023-02-14 15:00:00,NEARUSDT,2.225,2.07557,2.449145,6.716,-0.28,6.577,RANGING,100.0,A,3,1.5,True
2023-02-17 04:00:00,2023-02-17 06:00:00,DOTUSDT,6.72,6.253575,7.419637,6.941,-0.735,4.874,TRENDING,75.0,A,3,1.5,True
2023-02-22 15:00:00,2023-02-22 17:00:00,APTUSDT,13.36,12.68426,14.37361,5.058,-1.974,2.284,TRENDING,64.3,B,4,1.5,True
2023-02-24 02:00:00,2023-02-24 04:00:00,OPUSDT,2.9736,2.751474,3.30679,7.47,-3.373,1.29,RANGING,74.4,B,3,1.5,True
2023-03-02 03:00:00,2023-03-02 05:00:00,LINKUSDT,7.366,7.29534,7.47199,0.959,0.086,1.234,RANGING,64.9,B,26,1.5,True
2023-03-18 12:00:00,2023-03-18 14:00:00,OPUSDT,2.8241,2.766,2.911249,2.057,-1.758,1.748,TRENDING,56.2,B,12,1.5,True
2023-03-21 11:00:00,2023-03-21 13:00:00,NEARUSDT,2.068,1.91239,2.301415,7.525,0.062,3.172,RANGING,93.8,A,3,1.5,True
2023-03-21 21:00:00,2023-03-21 23:00:00,DOTUSDT,6.36,6.09537,6.756945,4.161,-1.773,1.05,RANGING,70.7,B,6,1.5,True
2023-03-21 21:00:00,2023-03-21 23:00:00,LINKUSDT,7.373,7.12619,7.743215,3.347,-1.981,2.992,RANGING,99.9,A,7,1.5,True
2023-03-23 17:00:00,2023-03-23 19:00:00,APTUSDT,13.045,12.366855,14.062218,5.199,0.232,1.622,RANGING,56.1,B,4,1.5,True
2023-03-26 00:00:00,2023-03-26 02:00:00,APTUSDT,11.67,11.31116,12.20826,3.075,-0.176,2.561,TRENDING,68.4,B,8,1.5,True
2023-03-26 00:00:00,2023-03-26 02:00:00,OPUSDT,2.2221,2.11935,2.376225,4.624,-0.376,1.801,TRENDING,57.0,B,5,1.5,True
2023-04-01 12:00:00,2023-04-01 14:00:00,LTCUSDT,92.87,91.6395,94.71575,1.325,-0.017,3.389,RANGING,100.0,A,18,1.5,True
2023-04-01 20:00:00,2023-04-01 22:00:00,ATOMUSDT,11.416,10.97087,12.083695,3.899,-1.068,1.907,RANGING,83.6,A,6,1.5,True
2023-04-02 06:00:00,2023-04-02 08:00:00,LTCUSDT,93.29,91.1818,96.4523,2.26,0.2,2.626,RANGING,74.4,B,11,1.5,True
2023-04-05 12:00:00,2023-04-05 14:00:00,AVAXUSDT,17.877,17.138875,18.984187,4.129,-0.639,3.648,TRENDING,75.0,A,6,1.5,False
2023-04-06 14:00:00,2023-04-06 16:00:00,INJUSDT,5.681,5.12226,6.51911,9.835,0.084,3.387,RANGING,91.6,A,2,1.5,True
2023-04-08 22:00:00,2023-04-09 00:00:00,ATOMUSDT,10.986,10.79177,11.277345,1.768,-0.444,1.253,RANGING,73.8,B,14,1.5,True
2023-04-08 23:00:00,2023-04-09 01:00:00,APTUSDT,11.038,10.547,11.7745,4.448,-0.31,1.373,RANGING,75.6,A,5,1.5,True
2023-04-10 18:00:00,2023-04-10 20:00:00,INJUSDT,6.169,5.580955,7.051067,9.532,-0.335,3.258,TRENDING,75.0,A,2,1.5,True
2023-04-11 19:00:00,2023-04-11 21:00:00,INJUSDT,6.777,6.2287,7.59945,8.091,-3.671,2.842,TRENDING,72.6,B,3,1.5,True
2023-04-13 13:00:00,2023-04-13 15:00:00,APTUSDT,12.415,11.190765,14.251352,9.861,-1.624,4.881,RANGING,100.0,A,2,1.5,True
2023-04-14 00:00:00,2023-04-14 02:00:00,APTUSDT,12.71,12.09522,13.63217,4.837,-0.021,4.864,TRENDING,75.0,A,5,1.5,True
2023-04-14 23:00:00,2023-04-15 01:00:00,AVAXUSDT,19.132,18.35775,20.293375,4.047,-0.052,3.966,TRENDING,75.0,A,6,1.5,False
2023-04-16 00:00:00,2023-04-16 02:00:00,ATOMUSDT,12.666,12.139,13.4565,4.161,-0.218,5.212,RANGING,100.0,A,6,1.5,True
2023-04-16 00:00:00,2023-04-16 02:00:00,INJUSDT,8.513,7.672445,9.773832,9.874,-5.137,2.344,RANGING,90.2,A,2,1.5,True
2023-04-18 05:00:00,2023-04-18 07:00:00,INJUSDT,9.187,8.838585,9.709623,3.792,-0.337,1.685,TRENDING,55.3,B,6,1.5,True
2023-04-19 21:00:00,2023-04-19 23:00:00,DOTUSDT,6.305,6.15905,6.523925,2.315,-0.016,1.736,TRENDING,56.0,B,10,1.5,True
2023-04-25 13:00:00,2023-04-25 15:00:00,INJUSDT,7.025,6.848585,7.289623,2.511,-0.052,1.281,RANGING,74.2,B,9,1.5,True
2023-04-30 08:00:00,2023-04-30 10:00:00,ATOMUSDT,11.878,11.53404,12.39394,2.896,-0.243,1.237,RANGING,73.6,B,8,1.5,True
2023-04-30 15:00:00,2023-04-30 17:00:00,LTCUSDT,90.26,89.6097,92.55536,0.72,-0.133,2.376,RANGING,90.6,A,34,3.53,True
2023-04-30 15:00:00,2023-04-30 17:00:00,BNBUSDT,331.39,318.6786,350.4571,3.836,0.201,2.237,RANGING,68.5,B,6,1.5,False
